#-----------------------------------------------------------------------------
# Benchmarking Exchange
# #processes = 2
# ( 1278 additional processes waiting in MPI_Barrier)
#-----------------------------------------------------------------------------
       Message Size, Repetitions, t_min[usec], t_max[usec], Communication Time, Mbytes/sec, Number of Processes
, 2, 1000, 4.55, 4.74, 4.66, 1.69, 1024
, 4, 1000, 4.55, 4.76, 4.66, 3.36, 1024
, 8, 1000, 4.61, 4.83, 4.72, 6.63, 1024
, 16, 1000, 4.62, 4.80, 4.72, 13.32, 1024
, 32, 1000, 4.66, 4.86, 4.77, 26.32, 1024
, 64, 1000, 4.98, 5.18, 5.08, 49.39, 1024
, 128, 1000, 5.85, 6.35, 6.16, 80.62, 1024
, 256, 1000, 9.13, 9.39, 9.28, 109.01, 1024
, 512, 1000, 9.41, 9.73, 9.59, 210.57, 1024
, 1024, 1000, 11.64, 12.36, 11.99, 331.29, 1024
, 2048, 1000, 19.85, 20.80, 20.46, 393.83, 1024
, 4096, 1000, 36.34, 37.21, 36.78, 440.34, 1024
, 8192, 1000, 68.01, 70.02, 69.16, 467.97, 1024
, 16384, 1000, 118.49, 121.32, 120.25, 540.18, 1024
, 32768, 1000, 234.63, 236.26, 235.55, 554.77, 1024
, 65536, 640, 479.67, 485.01, 482.73, 540.49, 1024
, 131072, 320, 938.84, 960.18, 953.01, 546.03, 1024
, 262144, 160, 1873.65, 1914.47, 1897.49, 547.71, 1024
, 524288, 80, 3680.27, 3821.38, 3757.18, 548.79, 1024
, 1048576, 40, 7370.91, 7689.20, 7560.37, 545.48, 1024
, 2097152, 20, 14813.72, 15673.91, 15333.66, 535.20, 1024
, 4194304, 10, 30770.00, 33732.86, 32682.83, 497.36, 1024

#-----------------------------------------------------------------------------
# Benchmarking Exchange
# #processes = 1280
#-----------------------------------------------------------------------------
       Message Size, Repetitions, t_min[usec], t_max[usec], Communication Time, Mbytes/sec, Number of Processes
, 0, 1000, 7.34, 7.62, 7.48, 0.00, 1280
, 1, 1000, 7.58, 8.04, 7.80, 0.50, 1280
, 2, 1000, 7.33, 7.62, 7.50, 1.05, 1280
, 4, 1000, 7.41, 7.68, 7.55, 2.08, 1280
, 8, 1000, 7.50, 7.77, 7.65, 4.12, 1280
, 16, 1000, 7.40, 7.71, 7.57, 8.30, 1280
, 32, 1000, 7.30, 7.78, 7.55, 16.45, 1280
, 64, 1000, 6.79, 7.76, 7.42, 32.99, 1280
, 128, 1000, 9.05, 9.66, 9.39, 52.98, 1280
, 256, 1000, 13.62, 14.29, 13.89, 71.66, 1280
, 512, 1000, 13.93, 14.63, 14.25, 139.95, 1280
, 1024, 1000, 17.67, 18.39, 18.00, 222.74, 1280
, 2048, 1000, 27.04, 27.77, 27.47, 294.97, 1280
, 4096, 1000, 46.12, 47.32, 46.73, 346.24, 1280
, 8192, 1000, 87.85, 89.87, 88.75, 364.63, 1280
, 16384, 1000, 157.79, 159.69, 158.89, 410.39, 1280
, 32768, 1000, 296.30, 299.17, 298.09, 438.12, 1280
, 65536, 640, 597.78, 614.69, 607.17, 426.47, 1280
, 131072, 320, 1180.15, 1211.29, 1197.55, 432.83, 1280
, 262144, 160, 2356.08, 2402.64, 2381.17, 436.43, 1280
, 524288, 80, 4652.37, 4779.70, 4741.84, 438.76, 1280
, 1048576, 40, 9259.17, 9620.15, 9492.62, 435.99, 1280
, 2097152, 20, 18435.68, 19784.26, 19234.99, 424.00, 1280
, 4194304, 10, 38636.21, 43040.89, 41233.93, 389.80, 1280
#-----------------------------------------------------------------------------
